id,file,kind,license,author,url,acquired,sha256,ai,period,source_ref,tag
SM_WallPlain,art/generated/meshes/SM_WallPlain.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_WallDoor,art/generated/meshes/SM_WallDoor.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_WallWindow,art/generated/meshes/SM_WallWindow.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_Corner,art/generated/meshes/SM_Corner.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_RoofSlab,art/generated/meshes/SM_RoofSlab.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_RoofAccess,art/generated/meshes/SM_RoofAccess.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_Pilaster,art/generated/meshes/SM_Pilaster.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_Stair,art/generated/meshes/SM_Stair.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_Lintel,art/generated/meshes/SM_Lintel.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_CourtyardTile,art/generated/meshes/SM_CourtyardTile.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_Awning,art/generated/meshes/SM_Awning.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
House_SmallSingleRoom,art/generated/meshes/House_SmallSingleRoom.fbx,mesh_house_example,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
House_TwoRoomCourtyard,art/generated/meshes/House_TwoRoomCourtyard.fbx,mesh_house_example,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
House_RoofAccess,art/generated/meshes/House_RoofAccess.fbx,mesh_house_example,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_RoofSlabFlat,art/generated/meshes/SM_RoofSlabFlat.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
SM_ParapetRun,art/generated/meshes/SM_ParapetRun.fbx,mesh_kit_piece,LicenseRef-Original,schizo-game contributors,,,,false,,docs/art-pipeline-research.md; real-world Mesopotamian mudbrick architecture [A],A
M_Mudbrick_Color,art/source/Bricks100/Bricks100_2K-JPG_Color.jpg,texture_map,CC0-1.0,ambientCG,https://ambientcg.com/a/Bricks100,2026-09-25,fbbeac7a168b0331958ef09b3f9b39fa8c468671701bf49ae40c891e00b00681,false,,https://ambientcg.com/a/Bricks100,A
M_Mudbrick_NormalGL,art/source/Bricks100/Bricks100_2K-JPG_NormalGL.jpg,texture_map,CC0-1.0,ambientCG,https://ambientcg.com/a/Bricks100,2026-09-25,70cb039a541626274dc3305bcce55e0ba6a1c3a28c747c424d0444abbb2375f2,false,,https://ambientcg.com/a/Bricks100,A
M_Mudbrick_Roughness,art/source/Bricks100/Bricks100_2K-JPG_Roughness.jpg,texture_map,CC0-1.0,ambientCG,https://ambientcg.com/a/Bricks100,2026-09-25,660d01b43a5e268dcb35d77d39fd5ed7200dae1397a2e9fe78bf9dd414d3225c,false,,https://ambientcg.com/a/Bricks100,A
M_Mudbrick_AmbientOcclusion,art/source/Bricks100/Bricks100_2K-JPG_AmbientOcclusion.jpg,texture_map,CC0-1.0,ambientCG,https://ambientcg.com/a/Bricks100,2026-09-25,11771c490a1eb7616bcf40edaed5766f282e29178f0e2470397aacfe56447051,false,,https://ambientcg.com/a/Bricks100,A
M_MudPlaster_Color,art/source/Ground087/Ground087_2K-JPG_Color.jpg,texture_map,CC0-1.0,ambientCG,https://ambientcg.com/a/Ground087,2026-09-25,a09aefad41449a3ac9a6fd84e27653c48634d28a7051a63261593c1b83429658,false,,https://ambientcg.com/a/Ground087,A
M_MudPlaster_NormalGL,art/source/Ground087/Ground087_2K-JPG_NormalGL.jpg,texture_map,CC0-1.0,ambientCG,https://ambientcg.com/a/Ground087,2026-09-25,7484ca3112d84e0bb6f7630f8b210f40e5bec48564faa1e44cee00e64a971ffc,false,,https://ambientcg.com/a/Ground087,A
